G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,FTR,hAST%,TOV%,AST-TOV,DREB%,OREB%,POSS,Year_Number,GmSc-Per-PTS,GmSc-Per-FT,FTR-Per-FGA,PTS-Per-TOV,PTS-Per-POSS,game_result-Per-PTS,PER,PER-Per-PTS,STLS-and-BLKS,STL-BLK-Per-PF,Won,High-3P%-Shooting,High-FG%-Shooting,Over-3-BLKs-and-STLs,Played-Above-Avg-Min,Above-Avg-FT%,Career-Stage,Above-Avg-PTS-Per-POSS,More-BLKs-Than-STLs,More-AST-Than-TOV,PTS-Cat,2P,2PA,2P%,2P%-Above-50%,More than 3 Fouls,FTR-Above-Avg,Less-Than-3-TOV
1,2003-10-29,18,CLE,0,SAC,-14,1.0,42,12.0,20.0,0.6,0.0,2.0,0.0,1.0,3.0,0.33299999999999996,2.0,4.0,6.0,9.0,4.0,0.0,2.0,3.0,25.0,24.7,-9.0,0.5834305717619603,0.05,0.2775636083269083,0.06168080185042406,4.5,0.6666666666666666,0.3333333333333333,21.32,1,0.988,24.7,0.0025,12.5,1.172607879924953,-0.56,29.27704761904762,1.1710819047619048,4.0,2.0,False,False,True,True,True,False,rising,True,False,True,below 35,12.0,18.0,0.6666666666666666,True,False,False,True
2,2003-10-30,18,CLE,0,PHO,-9,1.0,40,8.0,17.0,0.47100000000000003,1.0,5.0,0.2,4.0,7.0,0.5710000000000001,2.0,10.0,12.0,8.0,1.0,0.0,7.0,1.0,21.0,14.7,-3.0,0.5166051660516605,0.23529411764705882,0.22646850672328378,0.1981599433828733,1.1428571428571428,0.8333333333333334,0.16666666666666666,25.08,1,0.7,3.675,0.01384083044982699,3.0,0.8373205741626795,-0.42857142857142855,16.8936,0.8044571428571429,1.0,0.14285714285714285,False,False,False,False,True,False,rising,False,False,True,below 35,7.0,12.0,0.5833333333333334,True,False,False,False
3,2003-11-01,18,CLE,0,POR,-19,1.0,39,3.0,12.0,0.25,0.0,1.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,6.0,2.0,0.0,2.0,3.0,8.0,5.0,-21.0,0.3088803088803089,0.16666666666666666,0.2863961813842482,0.0954653937947494,3.0,1.0,0.0,14.88,1,0.625,2.5,0.013888888888888888,4.0,0.5376344086021505,-2.375,5.489179487179488,0.686147435897436,2.0,1.0,False,False,False,False,True,True,rising,False,False,True,below 20,3.0,11.0,0.2727272727272727,False,False,False,True
4,2003-11-05,18,CLE,1,DEN,-4,1.0,41,3.0,11.0,0.273,0.0,2.0,0.0,1.0,1.0,1.0,2.0,9.0,11.0,7.0,2.0,3.0,2.0,1.0,7.0,11.2,-3.0,0.30501089324618735,0.09090909090909091,0.34188034188034183,0.09768009768009768,3.5,0.8181818181818182,0.18181818181818182,11.44,1,1.5999999999999999,11.2,0.008264462809917356,3.5,0.6118881118881119,-0.5714285714285714,13.291048780487808,1.898721254355401,5.0,2.5,False,False,False,True,True,True,rising,False,True,True,below 20,3.0,9.0,0.3333333333333333,False,False,False,True
5,2003-11-07,18,CLE,0,IND,-1,1.0,43,8.0,18.0,0.444,1.0,2.0,0.5,6.0,7.0,0.857,0.0,5.0,5.0,3.0,0.0,0.0,7.0,2.0,23.0,9.0,-7.0,0.5392731535756154,0.3333333333333333,0.09577015163607343,0.223463687150838,0.42857142857142855,1.0,0.0,28.08,1,0.391304347826087,1.5,0.018518518518518517,3.2857142857142856,0.8190883190883191,-0.043478260869565216,8.698953488372098,0.3782153690596564,0.0,0.0,False,True,False,False,True,True,rising,False,False,False,below 35,7.0,16.0,0.4375,False,False,True,False
6,2003-11-08,18,CLE,1,WAS,13,1.0,44,8.0,19.0,0.42100000000000004,0.0,0.0,0.0,1.0,4.0,0.25,5.0,3.0,8.0,9.0,1.0,1.0,2.0,1.0,17.0,15.7,14.0,0.40669856459330145,0.05263157894736842,0.2821316614420063,0.06269592476489029,4.5,0.375,0.625,17.76,1,0.9235294117647058,15.7,0.002770083102493075,8.5,0.9572072072072071,0.7647058823529411,17.341931818181827,1.020113636363637,2.0,1.0,True,False,False,False,True,False,rising,False,False,True,below 20,8.0,19.0,0.42105263157894735,False,False,False,True
7,2003-11-10,18,CLE,1,NYK,14,1.0,33,7.0,12.0,0.583,3.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,4.0,1.0,1.0,2.0,0.0,17.0,15.8,20.0,0.7083333333333334,0.0,0.2222222222222222,0.1111111111111111,2.0,0.8,0.2,13.0,1,0.9294117647058824,0.0,0.0,8.5,1.3076923076923077,0.8235294117647058,23.718484848484852,1.3952049910873443,2.0,1.0,True,True,True,False,False,False,rising,True,False,True,below 20,4.0,9.0,0.4444444444444444,False,False,False,True
8,2003-11-12,18,CLE,0,MIA,-5,1.0,42,6.0,15.0,0.4,2.0,5.0,0.4,4.0,6.0,0.667,1.0,2.0,3.0,7.0,2.0,1.0,4.0,3.0,18.0,12.8,-4.0,0.5042016806722689,0.26666666666666666,0.24263431542461003,0.1386481802426343,1.75,0.6666666666666666,0.3333333333333333,20.64,1,0.7111111111111111,3.2,0.017777777777777778,4.5,0.872093023255814,-0.2777777777777778,14.397119047619048,0.7998399470899471,3.0,0.75,False,False,False,False,True,False,rising,False,False,True,below 20,4.0,10.0,0.4,False,False,False,False
9,2003-11-14,18,CLE,0,BOS,-9,1.0,35,3.0,12.0,0.25,2.0,4.0,0.5,2.0,4.0,0.5,1.0,4.0,5.0,3.0,0.0,0.0,4.0,3.0,10.0,0.8,-1.0,0.3597122302158273,0.16666666666666666,0.14354066985645933,0.19138755980861244,0.75,0.8,0.2,16.759999999999998,1,0.08,0.4,0.013888888888888888,2.5,0.5966587112171838,-0.9,-0.08625714285714545,-0.008625714285714545,0.0,0.0,False,True,False,False,False,False,rising,False,False,False,below 20,1.0,8.0,0.125,False,False,False,False
10,2003-11-15,18,CLE,1,PHI,3,1.0,46,10.0,19.0,0.526,0.0,1.0,0.0,2.0,4.0,0.5,0.0,5.0,5.0,8.0,1.0,2.0,5.0,2.0,22.0,15.6,8.0,0.5263157894736843,0.10526315789473684,0.2359882005899705,0.14749262536873156,1.6,1.0,0.0,25.76,1,0.7090909090909091,7.8,0.00554016620498615,4.4,0.8540372670807453,0.13636363636363635,16.071586956521738,0.7305266798418972,3.0,0.6,True,False,True,False,True,False,rising,False,True,True,below 35,10.0,18.0,0.5555555555555556,True,False,False,False
11,2003-11-18,18,CLE,1,LAC,8,1.0,39,6.0,16.0,0.375,0.0,2.0,0.0,2.0,4.0,0.5,2.0,5.0,7.0,8.0,0.0,1.0,3.0,2.0,14.0,9.8,1.0,0.3910614525139665,0.125,0.2768166089965398,0.10380622837370243,2.6666666666666665,0.7142857142857143,0.2857142857142857,18.76,1,0.7000000000000001,4.9,0.0078125,4.666666666666667,0.7462686567164178,0.5714285714285714,11.526923076923085,0.8233516483516489,1.0,0.3333333333333333,True,False,False,False,True,False,rising,False,True,True,below 20,6.0,14.0,0.42857142857142855,False,False,False,False
12,2003-11-19,18,CLE,0,WAS,-11,1.0,39,10.0,18.0,0.556,2.0,4.0,0.5,6.0,8.0,0.75,2.0,5.0,7.0,8.0,2.0,1.0,4.0,2.0,28.0,25.0,-5.0,0.6422018348623852,0.3333333333333333,0.2366863905325444,0.1183431952662722,2.0,0.7142857142857143,0.2857142857142857,23.52,1,0.8928571428571429,4.166666666666667,0.018518518518518517,7.0,1.1904761904761905,-0.39285714285714285,31.188743589743584,1.1138836996336994,3.0,0.75,False,True,True,False,True,True,rising,True,False,True,below 35,8.0,14.0,0.5714285714285714,True,False,True,False
13,2003-11-21,18,CLE,1,MIN,-14,1.0,35,8.0,19.0,0.42100000000000004,0.0,2.0,0.0,3.0,3.0,1.0,2.0,7.0,9.0,2.0,1.0,0.0,1.0,4.0,19.0,12.2,-5.0,0.46511627906976744,0.15789473684210525,0.08537886872998933,0.042689434364994665,2.0,0.7777777777777778,0.2222222222222222,19.32,1,0.6421052631578947,4.066666666666666,0.008310249307479223,19.0,0.9834368530020704,-0.7368421052631579,16.534628571428573,0.8702436090225565,1.0,1.0,False,False,False,False,False,True,rising,False,False,True,below 20,8.0,17.0,0.47058823529411764,False,True,False,True
14,2003-11-22,18,CLE,0,ATL,-9,1.0,42,3.0,16.0,0.188,0.0,1.0,0.0,9.0,10.0,0.9,2.0,4.0,6.0,4.0,2.0,1.0,3.0,1.0,15.0,9.3,-6.0,0.3614457831325301,0.5625,0.14414414414414414,0.10810810810810811,1.3333333333333333,0.6666666666666666,0.3333333333333333,21.4,1,0.62,1.0333333333333334,0.03515625,5.0,0.7009345794392524,-0.6,9.37640476190476,0.6250936507936508,3.0,1.0,False,False,False,False,True,True,rising,False,False,True,below 20,3.0,15.0,0.2,False,False,True,False
15,2003-11-26,18,CLE,0,NOH,-10,1.0,38,5.0,17.0,0.294,1.0,4.0,0.25,4.0,4.0,1.0,2.0,6.0,8.0,9.0,0.0,0.0,4.0,1.0,15.0,10.2,-13.0,0.39682539682539686,0.23529411764705882,0.2821316614420063,0.12539184952978058,2.25,0.75,0.25,20.76,1,0.6799999999999999,2.55,0.01384083044982699,3.75,0.722543352601156,-0.6666666666666666,11.693684210526312,0.7795789473684208,0.0,0.0,False,False,False,False,True,True,rising,False,False,True,below 20,4.0,13.0,0.3076923076923077,False,False,False,False
16,2003-11-28,18,CLE,0,DET,-4,1.0,36,2.0,8.0,0.25,0.0,2.0,0.0,2.0,3.0,0.667,0.0,2.0,2.0,7.0,0.0,0.0,4.0,3.0,6.0,1.1,-10.0,0.3183023872679045,0.25,0.3427172582619339,0.19583843329253364,1.75,1.0,0.0,13.32,1,0.18333333333333335,0.55,0.03125,1.5,0.45045045045045046,-0.6666666666666666,0.42561111111111194,0.07093518518518532,0.0,0.0,False,False,False,False,False,False,rising,False,False,True,below 20,2.0,6.0,0.3333333333333333,False,False,False,False
17,2003-11-29,18,CLE,1,MEM,-7,1.0,54,14.0,28.0,0.5,3.0,6.0,0.5,2.0,3.0,0.667,2.0,14.0,16.0,7.0,1.0,1.0,8.0,1.0,33.0,22.4,-10.0,0.5607476635514018,0.07142857142857142,0.15756893640967926,0.18007878446820486,0.875,0.875,0.125,35.32,1,0.6787878787878787,11.2,0.002551020408163265,4.125,0.9343148357870895,-0.21212121212121213,19.531555555555567,0.5918653198653202,2.0,0.25,False,True,False,False,True,False,rising,False,False,False,below 35,11.0,22.0,0.5,False,False,False,False
18,2003-12-02,18,CLE,0,DEN,-12,1.0,32,6.0,19.0,0.316,2.0,3.0,0.667,5.0,7.0,0.7140000000000001,3.0,3.0,6.0,5.0,2.0,0.0,2.0,4.0,19.0,12.2,-12.0,0.425531914893617,0.2631578947368421,0.17050298380221654,0.06820119352088662,2.5,0.5,0.5,21.08,1,0.6421052631578947,2.44,0.013850415512465374,9.5,0.9013282732447818,-0.631578947368421,17.810218750000008,0.9373799342105267,2.0,1.0,False,True,False,False,False,False,rising,False,False,True,below 20,4.0,16.0,0.25,False,True,False,True
19,2003-12-03,18,CLE,0,LAC,-10,1.0,34,2.0,13.0,0.154,0.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,8.0,2.0,0.0,5.0,2.0,4.0,0.9,3.0,0.15384615384615385,0.0,0.3076923076923077,0.19230769230769232,1.6,0.3333333333333333,0.6666666666666666,14.0,1,0.225,0.0,0.0,0.8,0.2857142857142857,-2.5,0.24355882352941194,0.060889705882352985,2.0,0.4,False,False,False,False,False,False,rising,False,False,True,below 20,2.0,10.0,0.2,False,False,False,False
20,2003-12-06,18,CLE,1,ATL,10,1.0,36,4.0,12.0,0.33299999999999996,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,5.0,2.0,1.0,3.0,2.0,8.0,5.8,-5.0,0.3333333333333333,0.0,0.25,0.15,1.6666666666666667,0.8333333333333334,0.16666666666666666,14.0,1,0.725,0.0,0.0,2.6666666666666665,0.5714285714285714,1.25,7.421527777777776,0.927690972222222,3.0,1.0,True,False,False,False,False,False,rising,False,False,True,below 20,4.0,10.0,0.4,False,False,False,False
