,G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1.0,2013-10-29,28-303,MIA,,CHI,W (+12),1.0,38:01,5.0,11.0,0.455,0.0,1.0,0.0,7.0,9.0,0.778,0.0,6.0,6.0,8.0,1.0,0.0,2.0,0.0,17.0,16.9,8.0
1,2.0,2013-10-30,28-304,MIA,@,PHI,L (-4),1.0,36:38,9.0,17.0,0.529,4.0,7.0,0.571,3.0,4.0,0.75,0.0,4.0,4.0,13.0,0.0,0.0,4.0,3.0,25.0,21.4,-8.0
2,3.0,2013-11-01,28-306,MIA,@,BRK,L (-1),1.0,42:14,11.0,19.0,0.579,1.0,2.0,0.5,3.0,5.0,0.6,1.0,6.0,7.0,6.0,2.0,1.0,5.0,2.0,26.0,19.9,-3.0
3,4.0,2013-11-03,28-308,MIA,,WAS,W (+10),1.0,34:41,9.0,14.0,0.643,3.0,5.0,0.6,4.0,5.0,0.8,0.0,3.0,3.0,5.0,1.0,0.0,6.0,2.0,25.0,17.0,16.0
4,5.0,2013-11-05,28-310,MIA,@,TOR,W (+9),1.0,36:01,13.0,20.0,0.65,1.0,3.0,0.333,8.0,8.0,1.0,2.0,6.0,8.0,8.0,0.0,1.0,1.0,2.0,35.0,33.9,3.0
5,6.0,2013-11-07,28-312,MIA,,LAC,W (+5),1.0,37:09,6.0,13.0,0.462,1.0,3.0,0.333,5.0,9.0,0.556,0.0,5.0,5.0,6.0,1.0,0.0,4.0,4.0,18.0,10.8,-1.0
6,7.0,2013-11-09,28-314,MIA,,BOS,L (-1),1.0,36:32,9.0,13.0,0.692,0.0,0.0,,7.0,9.0,0.778,1.0,7.0,8.0,10.0,0.0,0.0,5.0,1.0,25.0,23.1,5.0
7,8.0,2013-11-12,28-317,MIA,,MIL,W (+23),1.0,29:58,13.0,21.0,0.619,4.0,7.0,0.571,3.0,6.0,0.5,0.0,3.0,3.0,2.0,0.0,0.0,3.0,0.0,33.0,21.6,14.0
8,9.0,2013-11-15,28-320,MIA,,DAL,W (+6),1.0,36:58,14.0,18.0,0.778,1.0,1.0,1.0,10.0,11.0,0.909,0.0,6.0,6.0,4.0,1.0,0.0,6.0,0.0,39.0,31.2,0.0
9,10.0,2013-11-16,28-321,MIA,@,CHA,W (+16),1.0,31:55,13.0,18.0,0.722,0.0,0.0,,4.0,4.0,1.0,1.0,3.0,4.0,7.0,1.0,1.0,3.0,1.0,30.0,27.4,7.0
10,11.0,2013-11-19,28-324,MIA,,ATL,W (+16),1.0,30:42,6.0,13.0,0.462,0.0,0.0,,1.0,3.0,0.333,2.0,4.0,6.0,5.0,1.0,0.0,3.0,0.0,13.0,9.6,14.0
11,12.0,2013-11-20,28-325,MIA,@,ORL,W (+28),1.0,29:05,5.0,11.0,0.455,0.0,2.0,0.0,11.0,11.0,1.0,1.0,5.0,6.0,7.0,1.0,1.0,4.0,0.0,21.0,20.1,23.0
12,13.0,2013-11-23,28-328,MIA,,ORL,W (+2),1.0,37:35,7.0,13.0,0.538,3.0,6.0,0.5,5.0,7.0,0.714,0.0,9.0,9.0,7.0,3.0,0.0,3.0,0.0,22.0,22.5,7.0
