G,Date,Age,Tm,game_location,Opp,game_result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1.0,2019-10-22,34-296,LAL,@,LAC,L (-10),1.0,36:00,7.0,19.0,0.368,1.0,5.0,0.2,3.0,4.0,0.75,1.0,9.0,10.0,8.0,1.0,1.0,5.0,3.0,18.0,11.6,-8.0
2.0,2019-10-25,34-299,LAL,,UTA,W (+9),1.0,30:34,12.0,22.0,0.545,1.0,4.0,0.25,7.0,8.0,0.875,2.0,5.0,7.0,10.0,1.0,0.0,1.0,0.0,32.0,30.9,17.0
3.0,2019-10-27,34-301,LAL,,CHO,W (+19),1.0,35:01,7.0,14.0,0.5,1.0,3.0,0.333,5.0,5.0,1.0,1.0,5.0,6.0,12.0,1.0,0.0,4.0,0.0,20.0,20.6,17.0
4.0,2019-10-29,34-303,LAL,,MEM,W (+29),1.0,28:19,8.0,15.0,0.533,2.0,5.0,0.4,5.0,7.0,0.714,0.0,2.0,2.0,8.0,0.0,1.0,6.0,0.0,23.0,15.8,2.0
5.0,2019-11-01,34-306,LAL,@,DAL,W (+9),1.0,42:32,13.0,23.0,0.565,4.0,9.0,0.444,9.0,11.0,0.818,0.0,12.0,12.0,16.0,4.0,1.0,4.0,5.0,39.0,40.8,15.0
6.0,2019-11-03,34-308,LAL,@,SAS,W (+7),1.0,37:18,8.0,23.0,0.348,0.0,6.0,0.0,5.0,10.0,0.5,1.0,10.0,11.0,13.0,2.0,1.0,5.0,2.0,21.0,15.8,15.0
7.0,2019-11-05,34-310,LAL,@,CHI,W (+6),1.0,35:11,10.0,19.0,0.526,2.0,6.0,0.333,8.0,9.0,0.889,0.0,10.0,10.0,11.0,2.0,1.0,2.0,3.0,30.0,30.5,17.0
8.0,2019-11-08,34-313,LAL,,MIA,W (+15),1.0,36:03,10.0,19.0,0.526,4.0,7.0,0.571,1.0,2.0,0.5,1.0,3.0,4.0,6.0,0.0,0.0,3.0,2.0,25.0,17.3,16.0
9.0,2019-11-10,34-315,LAL,,TOR,L (-9),1.0,35:20,5.0,15.0,0.333,0.0,2.0,0.0,3.0,6.0,0.5,3.0,10.0,13.0,15.0,0.0,1.0,2.0,0.0,13.0,17.6,-6.0
10.0,2019-11-12,34-317,LAL,@,PHO,W (+8),1.0,37:04,8.0,18.0,0.444,1.0,4.0,0.25,2.0,7.0,0.286,0.0,7.0,7.0,11.0,0.0,0.0,1.0,0.0,19.0,16.4,-2.0
11.0,2019-11-13,34-318,LAL,,GSW,W (+26),1.0,26:29,11.0,21.0,0.524,1.0,5.0,0.2,0.0,1.0,0.0,2.0,4.0,6.0,12.0,1.0,1.0,4.0,1.0,23.0,20.6,13.0
12.0,2019-11-15,34-320,LAL,,SAC,W (+2),1.0,38:40,10.0,20.0,0.5,2.0,7.0,0.286,7.0,7.0,1.0,3.0,1.0,4.0,11.0,3.0,0.0,2.0,1.0,29.0,29.7,13.0
13.0,2019-11-17,34-322,LAL,,ATL,W (+21),1.0,33:07,13.0,21.0,0.619,6.0,10.0,0.6,1.0,1.0,1.0,0.0,7.0,7.0,12.0,1.0,1.0,0.0,1.0,33.0,35.3,30.0
14.0,2019-11-19,34-324,LAL,,OKC,W (+5),1.0,37:08,10.0,21.0,0.476,2.0,5.0,0.4,3.0,5.0,0.6,0.0,11.0,11.0,10.0,2.0,0.0,7.0,2.0,25.0,18.0,6.0
15.0,2019-11-22,34-327,LAL,@,OKC,W (+3),1.0,35:37,9.0,20.0,0.45,1.0,3.0,0.333,4.0,6.0,0.667,1.0,5.0,6.0,14.0,1.0,1.0,5.0,2.0,23.0,19.7,3.0
16.0,2019-11-23,34-328,LAL,@,MEM,W (+1),1.0,38:50,14.0,27.0,0.519,2.0,9.0,0.222,0.0,0.0,,1.0,5.0,6.0,4.0,2.0,0.0,5.0,1.0,30.0,18.3,7.0
17.0,2019-11-25,34-330,LAL,@,SAS,W (+10),1.0,35:08,13.0,24.0,0.542,4.0,7.0,0.571,3.0,8.0,0.375,1.0,3.0,4.0,14.0,0.0,1.0,3.0,2.0,33.0,27.7,6.0
18.0,2019-11-27,34-332,LAL,@,NOP,W (+4),1.0,37:35,10.0,18.0,0.556,2.0,6.0,0.333,7.0,11.0,0.636,2.0,3.0,5.0,11.0,2.0,1.0,5.0,2.0,29.0,25.7,3.0
19.0,2019-11-29,34-334,LAL,,WAS,W (+22),1.0,24:36,9.0,16.0,0.563,4.0,8.0,0.5,1.0,2.0,0.5,0.0,3.0,3.0,11.0,2.0,1.0,6.0,1.0,23.0,19.9,20.0
20.0,2019-12-01,34-336,LAL,,DAL,L (-14),1.0,36:25,11.0,20.0,0.55,0.0,5.0,0.0,3.0,3.0,1.0,0.0,9.0,9.0,8.0,4.0,0.0,6.0,3.0,25.0,20.5,-16.0
21.0,2019-12-03,34-338,LAL,@,DEN,W (+9),1.0,36:53,9.0,18.0,0.5,1.0,4.0,0.25,6.0,6.0,1.0,2.0,4.0,6.0,9.0,0.0,0.0,4.0,3.0,25.0,19.7,4.0
22.0,2019-12-04,34-339,LAL,@,UTA,W (+25),1.0,29:28,9.0,21.0,0.429,1.0,6.0,0.167,1.0,1.0,1.0,0.0,4.0,4.0,12.0,1.0,0.0,1.0,3.0,20.0,17.3,14.0
23.0,2019-12-06,34-341,LAL,@,POR,W (+23),1.0,33:45,11.0,23.0,0.478,4.0,9.0,0.444,5.0,7.0,0.714,1.0,6.0,7.0,8.0,0.0,1.0,3.0,1.0,31.0,23.9,21.0
24.0,2019-12-08,34-343,LAL,,MIN,W (+17),1.0,27:51,12.0,20.0,0.6,6.0,8.0,0.75,2.0,2.0,1.0,1.0,3.0,4.0,13.0,1.0,0.0,5.0,4.0,32.0,27.9,24.0
25.0,2019-12-11,34-346,LAL,@,ORL,W (+9),1.0,37:55,11.0,24.0,0.458,1.0,6.0,0.167,2.0,5.0,0.4,2.0,9.0,11.0,10.0,2.0,0.0,6.0,2.0,25.0,17.7,8.0
26.0,2019-12-13,34-348,LAL,@,MIA,W (+3),1.0,37:26,11.0,22.0,0.5,4.0,8.0,0.5,2.0,4.0,0.5,2.0,7.0,9.0,12.0,1.0,0.0,8.0,2.0,28.0,20.3,9.0
27.0,2019-12-15,34-350,LAL,@,ATL,W (+5),1.0,36:56,12.0,21.0,0.571,4.0,10.0,0.4,4.0,7.0,0.571,1.0,12.0,13.0,7.0,1.0,3.0,4.0,1.0,32.0,28.8,10.0
28.0,2019-12-17,34-352,LAL,@,IND,L (-3),1.0,34:54,8.0,20.0,0.4,0.0,6.0,0.0,4.0,8.0,0.5,1.0,8.0,9.0,9.0,0.0,0.0,5.0,2.0,20.0,11.2,-9.0
29.0,2019-12-19,34-354,LAL,@,MIL,L (-7),1.0,36:44,8.0,19.0,0.421,3.0,7.0,0.429,2.0,2.0,1.0,0.0,12.0,12.0,11.0,0.0,0.0,4.0,5.0,21.0,16.2,-14.0
30.0,2019-12-25,34-360,LAL,,LAC,L (-5),1.0,38:50,9.0,24.0,0.375,2.0,12.0,0.167,3.0,4.0,0.75,3.0,6.0,9.0,10.0,2.0,1.0,2.0,3.0,23.0,19.8,3.0
31.0,2019-12-28,34-363,LAL,@,POR,W (+8),1.0,36:44,7.0,15.0,0.467,1.0,4.0,0.25,6.0,8.0,0.75,1.0,6.0,7.0,16.0,2.0,1.0,1.0,2.0,21.0,27.1,5.0
32.0,2019-12-29,34-364,LAL,,DAL,W (+13),1.0,34:19,3.0,10.0,0.3,2.0,4.0,0.5,5.0,6.0,0.833,0.0,6.0,6.0,13.0,2.0,0.0,2.0,2.0,13.0,16.9,5.0
33.0,2020-01-01,35-002,LAL,,PHO,W (+10),1.0,38:04,11.0,21.0,0.524,1.0,4.0,0.25,8.0,12.0,0.667,2.0,11.0,13.0,12.0,2.0,1.0,5.0,0.0,31.0,29.9,18.0
34.0,2020-01-03,35-004,LAL,,NOP,W (+10),1.0,37:13,7.0,17.0,0.412,1.0,3.0,0.333,2.0,5.0,0.4,0.0,8.0,8.0,15.0,2.0,0.0,2.0,1.0,17.0,19.2,17.0
35.0,2020-01-05,35-006,LAL,,DET,W (+7),1.0,35:01,10.0,21.0,0.476,0.0,3.0,0.0,1.0,2.0,0.5,3.0,11.0,14.0,11.0,0.0,0.0,3.0,2.0,21.0,19.2,23.0
